F_CODE,F_LEVEL,F_STATUS,OCEAN,SUBOCEAN,F_AREA,F_SUBAREA,F_DIVISION,F_SUBDIVIS,F_SUBUNIT,ID,NAME_EN,NAME_FR,NAME_ES,SURFACE
21.4.X,DIVISION,1,Atlantic,2,21,21.4,21.4.X,,,241,"Atlantic, Northwest / 21.4.X",Atl NW / 21.4.X,Atl NW / 21.4.X,1.54261E+11
21.5.Y,DIVISION,1,Atlantic,2,21,21.5,21.5.Y,,,242,"Atlantic, Northwest / 21.5.Y",Atl NW / 21.5.Y,Atl NW / 21.5.Y,58397470323
21.4.T,DIVISION,1,Atlantic,2,21,21.4,21.4.T,,,243,"Atlantic, Northwest / 21.4.T",Atl NW / 21.4.T,Atl NW / 21.4.T,1.11948E+11
47.D.1,DIVISION,1,Atlantic,4,47,47.D,47.D.1,,,244,SEAFO division D.1,Division SEAFO D.1,División SEAFO D.1,4.18673E+11
47.B.1,DIVISION,1,Atlantic,4,47,47.B,47.B.1,,,245,SEAFO division B.1,Division SEAFO B.1,División SEAFO B.1,9.60504E+11
47.C.1,DIVISION,1,Atlantic,4,47,47.C,47.C.1,,,246,SEAFO division C.1,Division SEAFO C.1,División SEAFO C.1,9.90786E+11
47.B.0,DIVISION,1,Atlantic,4,47,47.B,47.B.0,,,247,SEAFO division B.0,Division SEAFO B.0,División SEAFO B.0,1.81099E+12
27.8.a,DIVISION,1,Atlantic,2,27,27.8,27.8.a,,,248,Bay of Biscay - North (Division 27.8.a),Golfe de Gascogne - Nord (Division 27.8.a),Golfo de Vizcaya - norte (División 27.8.a),62662432442
61,MAJOR,1,Pacific,6,61,,,,,2,"Pacific, Northwest","Pacifique, nord-ouest","Pacífico, noroeste",2.15495E+13
37.4,SUBAREA,1,Atlantic,3,37,37.4,,,,20,Black Sea subarea,Sous-zone mer Noire,Subárea mar Negro,4.75397E+11
27.7.j,DIVISION,1,Atlantic,2,27,27.7,27.7.j,,,249,Southwest of Ireland - East (Division 27.7.j),Sud-ouest de l'Irlande - Est (Division 27.7.j),Sudoeste de Irlanda - Este (División 27.7.j),99469988592
27.7.h,DIVISION,1,Atlantic,2,27,27.7,27.7.h,,,250,Celtic Sea South (Division 27.7.h),Mer Celtique du sud (Division 27.7.h),Mar Céltico sur (División 27.7.h),57004067535
