Abundance
Adjusted CPUE
Average CPUE
Average annual CPUE
Biomass
Biomass Index
CPUE
Catch rate at recreational fishing tournaments
Commercial catch and effort
Frequency relative to 2001
Frequency relative to 2002
Landings
Mean catch rate
Mean standardized catch
Median CPUE
Nominal CPUE
Nominal catches
Number
Observer data from commercial bottom longline
Opportunistic sightings
Percent of unexploited biomass
Relative abundance
Relative catch rate
SCPUE
SPUE
Sharks per hook
Sightings per unit effort (SPUE)
Standardized CPUE
Standardized catch rate
Standardized catchs per year
Standardized commercial catch rate
Standardized relative abundance
Total landings
UVC
abundance
abundance index
aerial survey
annual catch rate
biomass
catch rate
fishery-independent longline sureys
fishing mortality
landings
mean nominal CPUE
nominal CPUE
relative abundance
total biomass
weight
