NA
Purse-seine
aerial survey
bather protection net
bottom longline
bottom trawl
charter boat
creel survey
danish seine
drumlines
gillnet
longline
longline and gillnet
mark recapture using longline
midwater trawl
nets
opportunistic sightings
otter trawl
private boat
purse seine
recreational hook and line
recreational landings
rod and reel
sightings
squaenere, bottom trawls
stock assessment
time lapse video
tournament
trawl
trawl, rod and reel
trawls, gillnets and recreational catch
twin trawling
underwater visual census
visual census
