Chimaeriformes,Batoidea,Squalimorph Sharks,Gaelomorph Sharks
,Bathyraja papilionifera,Etmopterus virens,Carcharhinus altimus
,Bathyraja parmifera,Euprotomicroides zantedeschia,Carcharhinus amblyrhynchoides
,Bathyraja peruana,Euprotomicrus bispinatus,Carcharhinus amblyrhynchos
,Bathyraja richardsoni,Heptranchias perlo,Carcharhinus amboinensis
,Bathyraja scaphiops,Heteroscymnoides marleyi,Carcharhinus borneensis
,Bathyraja schroederi,Hexanchus griseus,Carcharhinus brachyurus
,Bathyraja shuntovi,Hexanchus nakamurai,Carcharhinus brevipinna
,Bathyraja simoterus,Hexanchus vitulus,Carcharhinus cautus
,Bathyraja smirnovi,Isistius brasiliensis,Carcharhinus cerdale
,Bathyraja smithii,Isistius labialis,Carcharhinus coatesi
,Bathyraja spinicauda,Isistius plutodus,Carcharhinus dussumieri
,Bathyraja spinosissima,Mollisquama parini,Carcharhinus falciformis
,Bathyraja trachouros,Notorynchus cepedianus,Carcharhinus fitzroyensis
,Bathyraja trachura,Oxynotus bruniensis,Carcharhinus galapagensis
,Bathyraja tunae,Oxynotus caribbaeus,Carcharhinus hemiodon
,Bathyraja tzinovskii,Oxynotus centrina,Carcharhinus humani
,Bathyraja violacea,Oxynotus japonicus,Carcharhinus isodon
,Benthobatis kreffti,Oxynotus paradoxus,Carcharhinus leiodon
,Benthobatis marcida,Pliotrema warreni,Carcharhinus leucas
,Benthobatis moresbyi,Pristiophorus cirratus,Carcharhinus limbatus
,Benthobatis yangi,Pristiophorus delicatus,Carcharhinus longimanus
,Beringraja binoculata,Pristiophorus japonicus,Carcharhinus macloti
,Beringraja pulchra,Pristiophorus lanae,Carcharhinus melanopterus
,Breviraja claramaculata,Pristiophorus nancyae,Carcharhinus obscurus
,Breviraja colesi,Pristiophorus nudipinnis,Carcharhinus perezii
,Breviraja mouldi,Pristiophorus schroederi,Carcharhinus plumbeus
,Breviraja nigriventralis,Proscymnodon macracanthus,Carcharhinus porosus
,Breviraja spinosa,Proscymnodon plunketi,Carcharhinus sealei
,Brevitrygon heterura,Scymnodalatias albicauda,Carcharhinus signatus
,Brevitrygon javaensis,Scymnodalatias garricki,Carcharhinus sorrah
,Brochiraja aenigma,Scymnodalatias oligodon,Carcharhinus tilstoni
,Brochiraja albilabiata,Scymnodalatias sherwoodi,Carcharhinus tjutjot
,Brochiraja asperula,Scymnodon ringens,Carcharhinus wheeleri
,Brochiraja heuresa,Somniosus antarcticus,Carcharias taurus
,Brochiraja leviveneta,Somniosus longus,Carcharodon carcharias
,Brochiraja microspinifera,Somniosus microcephalus,Cephaloscyllium albipinnum
