Chimaeriformes,Batoidea,Squalimorph Sharks,Gaelomorph Sharks
,Rhinoraja albomaculata,,
,Rhinoraja kujiensis,,
,Rhinoraja longicauda,,
,Rhinoraja macloviana,,
,Rhinoraja magellanica,,
,Rhinoraja multispinis,,
,Rhinoraja murrayi,,
,Rhinoraja odai,,
,Rhinoraja taranetzi,,
,Rhynchobatus australiae,,
,Rhynchobatus cooki,,
,Rhynchobatus djiddensis,,
,Rhynchobatus immaculatus,,
,Rhynchobatus laevis,,
,Rhynchobatus luebberti,,
,Rhynchobatus palpebratus,,
,Rhynchobatus springeri,,
,Rhynchorhina mauritaniensis,,
,Rioraja agassizii,,
,Rostroraja alba,,
,Sinobatis andamanensis,,
,Sinobatis borneensis,,
,Sinobatis brevicauda,,
,Sinobatis bulbicauda,,
,Sinobatis caerulea,,
,Sinobatis filicauda,,
,Sinobatis kotlyari,,
,Sinobatis melanosoma,,
,Spiniraja whitleyi,,
,Sympterygia acuta,,
,Sympterygia bonapartii,,
,Sympterygia brevicaudata,,
,Sympterygia lima,,
,Taeniura lessoni,,
,Taeniura lymma,,
,Taeniurops grabata,,
,Taeniurops meyeni,,
,Telatrygon biasa,,
,Telatrygon crozieri,,
,Temera hardwickii,,
,Tetronarce cowleyi,,
,Tetronarce occidentalis,,
,Torpedo adenensis,,
,Torpedo alexandrinsis,,
,Torpedo andersoni,,
,Torpedo bauchotae,,
,Torpedo californica,,
,Torpedo fairchildi,,
,Torpedo formosa,,
,Torpedo fuscomaculata,,
,Torpedo mackayana,,
,Torpedo macneilli,,
,Torpedo marmorata,,
,Torpedo microdiscus,,
,Torpedo nobiliana,,
,Torpedo panthera,,
,Torpedo peruana,,
,Torpedo polleni,,
,Torpedo puelcha,,
,Torpedo semipelagica,,
,Torpedo sinuspersici,,
,Torpedo suessii,,
,Torpedo tokionis,,
,Torpedo torpedo,,
,Torpedo tremens,,
,Torpedo zugmayeri,,
,Trygonoptera galba,,
,Trygonoptera imitata,,
,Trygonoptera mucosa,,
,Trygonoptera ovalis,,
,Trygonoptera personata,,
,Trygonoptera testacea,,
,Trygonorrhina dumerilii,,
,Trygonorrhina fasciata,,
,Trygonorrhina melaleuca,,
,Typhlonarke aysoni,,
,Typhlonarke tarakea,,
,Urobatis concentricus,,
,Urobatis halleri,,
,Urobatis jamaicensis,,
,Urobatis maculatus,,
,Urobatis marmoratus,,
,Urobatis pardalis,,
,Urobatis tumbesensis,,
,Urogymnus acanthobothrium,,
,Urogymnus asperrimus,,
,Urogymnus ukpam,,
,Urolophus armatus,,
,Urolophus aurantiacus,,
,Urolophus bucculentus,,
,Urolophus circularis,,
,Urolophus cruciatus,,
,Urolophus deforgesi,,
,Urolophus expansus,,
,Urolophus flavomosaicus,,
,Urolophus gigas,,
,Urolophus javanicus,,
,Urolophus kaianus,,
,Urolophus kapalensis,,
,Urolophus lobatus,,
,Urolophus mitosis,,
,Urolophus neocaledoniensis,,
,Urolophus orarius,,
,Urolophus papilio,,
,Urolophus paucimaculatus,,
,Urolophus piperatus,,
,Urolophus sufflavus,,
,Urolophus viridis,,
,Urolophus westraliensis,,
,Urotrygon aspidura,,
,Urotrygon caudispinosus,,
,Urotrygon chilensis,,
,Urotrygon cimar,,
,Urotrygon microphthalmum,,
,Urotrygon munda,,
,Urotrygon nana,,
,Urotrygon peruanus,,
,Urotrygon reticulata,,
,Urotrygon rogersi,,
,Urotrygon serrula,,
,Urotrygon simulatrix,,
,Urotrygon venezuelae,,
,Zanobatus maculatus,,
,Zanobatus schoenleinii,,
,Zapteryx brevirostris,,
,Zapteryx exasperata,,
,Zapteryx xyster,,
,Zearaja argentinensis,,
,Zearaja chilensis,,
,Zearaja maugeana,,
,Zearaja nasuta,,
,Recently Described/Novel Species,,
