Notes,resource_id,resource,year,DOI,source,suffix,author_year
,heithaus2008a,"Heithaus, M.R. & Wirsing, A.J. & Thomson, J.A. & Burkholder, D.A. (2008) A review of lethal and non-lethal effects of predators on adult marine turtles. Journal of Experimental Marine Biology and Ecology, 356 (1-2) 43:51.",2008,10.1016/j.jembe.2007.12.013,Simon-Dedman,,heithaus2008a
,hines1997,"Hines, A.H. & Whitlatch, R.B. & Thrush, S.F. & Hewitt, J.E. & Cummings, V.J. & Dayton, P.K. & Legendre, P. (1997) Nonlinear foraging response of a large marine predator to benthic prey: eagle ray pits and bivalves in a New Zealand sandflat. Journal of Experimental Marine Biology and Ecology, 216 (1-2) 191:210.",1997,10.1016/S0022-0981(97)00096-8,Simon-Dedman,,hines1997
,hovel2001,"Hovel, K.A. & Lipcius, R.N. (2001) Habitat fragmentation in a seagrass landscape: patch size and complexity control blue crab survival. Ecology, 82 (7) 1814:1829.",2001,10.1890/0012-9658(2001)082[1814:HFIASL]2.0.CO;2,Simon-Dedman,,hovel2001
,hughes2013,"Hughes, B.B. & Eby, R. & Van Dyke, E. & Tinker, M.T. & Marks, C.I. & Johnson, K.S. & Wasson, K. (2013) Recovery of a top predator mediates negative eutrophic effects on seagrass. Proceedings of the National Academy of Sciences, 110 (38) 15313:15318.",2013,10.1073/pnas.1302805110,Simon-Dedman,,hughes2013
,hughes2019,"Hughes, B.B. & Wasson, K. & Tinker, M.T. & Williams, S.L. & Carswell, L.P. & Boyer, K.E. & Beck, M.W. & Eby, R. & Scoles, R. & Staedler, M. & Espinosa, S. & Hessing-Lewis, M. & Foster, E.U. & Beheshti, K.M. & Grimes, T.M. & Becker, B.H. & Needles, L. & Tomoleoni, J.A. & Rudebusch, J. & Hines, E. & Silliman, B.R. (2019) Species recovery and recolonization of past habitats: lessons for science and conservation from sea otters in estuaries. PeerJ, 7, e8100.",2019,10.7717/peerj.8100,Simon-Dedman,,hughes2019
,hunsicker2012,"Hunsicker, M.E. & Olson, R.J. & Essington, T.E. & Maunder, M.N. & Duffy, L.M. & Kitchell, J.F. (2012) Potential for top-down control on tropical tunas based on size structure of predator-prey interactions. Marine Ecology Progress Series, 445, 263:277.",2012,10.3354/meps09494,Simon-Dedman,,hunsicker2012
,jewell2019,"Jewell, O.J.D. & Gleiss, A.C. & Jorgensen, S.J. & Andrzejaczek, S. & Moxley, J.H. & Beatty, S.J. & Wikelski, M. & Block, B.A. & Chapple, T.K. (2019) Cryptic habitat use of white sharks in kelp forest revealed by animal-borne video. Biology Letters, 15 (4) 20190085.",2019,10.1098/rsbl.2019.0085,Simon-Dedman,,jewell2019
,jorgensen2019,"Jorgensen, S.J. & Anderson, S. & Ferretti, F. & Tietz, J.R. & Chapple, T. & Kanive, P. & Bradley, R.W. & Moxley, J.H. & Block, B.A. (2019) Killer whales redistribute white shark foraging pressure on seals. Scientific Reports, 9 (1) 6153.",2019,10.1038/s41598-019-39356-2,Simon-Dedman,,jorgensen2019
,lal2010,"Lal, A. & Arthur, R. & Marbà, N. & Lill, A.W.T. & Alcoverro, T. (2010) Implications of conserving an ecosystem modifier: increasing green turtle (Chelonia mydas) densities substantially alters seagrass meadows. Biological Conservation, 143 (11) 2730:2738.",2010,10.1016/j.biocon.2010.07.020,Simon-Dedman,,lal2010
,laroche2008,"Laroche, R.K. & Kock, A.A. & Dill, L.M. & Oosthuizen, W.H. (2008) Running the gauntlet: a predator-prey game between sharks and two age classes of seals. Animal Behaviour, 76 (6) 1901:1917.",2008,10.1016/j.anbehav.2008.06.025,Simon-Dedman,,laroche2008
,lester2020,"Lester, E.K. & Langlois, T.J. & Simpson, S.D. & McCormick, M.I. & Meekan, M.G. (2020) The hemisphere of fear: the presence of sharks influences the three dimensional behaviour of large mesopredators in a coral reef ecosystem. Oikos, 129 (5) 731:739.",2020,10.1111/oik.06844,Simon-Dedman,,lester2020
,lester2021,"Lester, E.K. & Langlois, T.J. & Simpson, S.D. & McCormick, M.I. & Meekan, M.G. (2021) Reef-wide evidence that the presence of sharks modifies behaviors of teleost mesopredators. Ecosphere, 12 (2) e03301.",2021,10.1002/ecs2.3301,Simon-Dedman,,lester2021
,lester2021a,"Lester, E.K. & Langlois, T.J. & McCormick, M.I. & Simpson, S.D. & Bond, T. & Meekan, M.G. (2021) Relative influence of predators, competitors and seascape heterogeneity on behaviour and abundance of coral reef mesopredators. Oikos, 130 (12) 2239:2249.",2021,10.1111/oik.08463,Simon-Dedman,,lester2021a
,lucas2010,"Lucas, Z.N. & Natanson, L.J. (2010) Two shark species involved in predation on seals at Sable Island, Nova Scotia, Canada. Proceedings of the Nova Scotian Institute of Science (NSIS), 45 (2).",2010,,Simon-Dedman,,lucas2010
,moxley2019,"Moxley, J.H. & Nicholson, T.E. & Van Houtan, K.S. & Jorgensen, S.J. (2019) Non-trophic impacts from white sharks complicate population recovery for sea otters. Ecology and Evolution, 9 (11) 6378:6388.",2019,10.1002/ece3.5209,Simon-Dedman,,moxley2019
,moxley2020,"Moxley, J.H. & Skomal, G. & Chisholm, J. & Halpin, P. & Johnston, D.W. (2020) Daily and seasonal movements of Cape Cod gray seals vary with predation risk. Marine Ecology Progress Series, 644, 215:228.",2020,10.3354/meps13346,Simon-Dedman,,moxley2020
,murdoch2007,"Murdoch, T.J.T. & Glasspool, A.F. & Outerbridge, M. & Ward, J. & Manuel, S. & Gray, J. & Nash, A. & Coates, K.A. & Pitt, J. & Fourqurean, J.W. & Barnes, P.A. & Vierros, M. & Holzer, K. & Smith, S.R. (2007) Large-scale decline in offshore seagrass meadows in Bermuda. Marine Ecology Progress Series, 339, 123:130.",2007,10.3354/meps339123,Simon-Dedman,,murdoch2007
,nicholson2018,"Nicholson, T.E. & Mayer, K.A. & Staedler, M.M. & Fujii, J.A. & Murray, M.J. & Johnson, A.B. & Tinker, M.T. & Van Houtan, K.S. (2018) Gaps in kelp cover may threaten the recovery of California sea otters. Ecography, 41 (11) 1751:1762.",2018,10.1111/ecog.03561,Simon-Dedman,,nicholson2018
,nowicki2021,"Nowicki, R.J. & Thomson, J.A. & Fourqurean, J.W. & Wirsing, A.J. & Heithaus, M.R. (2021) Loss of predation risk from apex predators can exacerbate marine tropicalization caused by extreme climatic events. Journal of Animal Ecology, 90 (9) 2041:2052.",2021,10.1111/1365-2656.13424,Simon-Dedman,,nowicki2021
,oconnell2019,"O'Connell, C.P. & Andreotti, S. & Rutzen, M. & Meӱer, M. & Matthee, C.A. (2019) The influence of kelp density on white shark presence within the Dyer Island nature reserve, South Africa. Ocean & Coastal Management, 179, 104819.",2019,10.1016/j.ocecoaman.2019.104819,Simon-Dedman,,oconnell2019
,peterson2001,"Peterson, C.H. & Fodrie, J.F. & Summerson, H.C. & Powers, S.P. (2001) Site-specific and density-dependent extinction of prey by schooling rays: generation of a population sink in top-quality habitat for bay scallops. Oecologia, 129 (3) 349:356.",2001,10.1007/s004420100742,Simon-Dedman,,peterson2001
,phenix2019,"Phenix, L.M. & Tricarico, D. & Quintero, E. & Bond, M.E. & Brandl, S.J. & Gallagher, A.J. (2019) Evaluating the effects of large marine predators on mobile prey behavior across subtropical reef ecosystems. Ecology and Evolution, 9 (24) 13740:13751.",2019,10.1002/ece3.5784,Simon-Dedman,,phenix2019
,raymond2021,"Raymond, W.W. & Hughes, B.B. & Stephens, T.A. & Mattson, C.R. & Bolwerk, A.T. & Eckert, G.L. (2021) Testing the generality of sea otter-mediated trophic cascades in seagrass meadows. Oikos, 130 (5) 725:738.",2021,10.1111/oik.07681,Simon-Dedman,,raymond2021
